ID,Current_Location,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location
,,,,,,Transfer,Undetermined,USDI
,,,,,,Transfer,3-Apr-93,LOSANGELE
,,,,,,Transfer,8-Jul-94,SANDIEGOZ
,,,,,,Death,27-Feb-09,SANDIEGOZ
1090,OASES,Male,14-Nov-92,1015,1014,Birth/Hatch,14-Nov-92,CRYSTAL G
,,,,,,Transfer,22-Mar-05,OASES
,,,,,,Death,5-Jun-07,OASES
1091,IND RIV R,Female,14-Nov-92,1015,1014,Birth/Hatch,14-Nov-92,CRYSTAL G
,,,,,,Transfer,15-Oct-04,IND RIV R
,,,,,,Death,21-Nov-07,IND RIV R
1092,SANDIEGOZ,Male,24-Mar-93,1017,1021,Birth/Hatch,24-Mar-93,SANDIEGOZ
,,,,,,Death,27-Mar-93,SANDIEGOZ
1093,HOUSTON,Male,30-May-93,1051,1054,Birth/Hatch,30-May-93,CHICAGOBR
,,,,,,Transfer,16-Sep-97,HOUSTON
,,,,,,Death,20-Apr-03,HOUSTON
1094,CINCINNAT,Female,30-May-93,1051,1054,Birth/Hatch,30-May-93,CHICAGOBR
,,,,,,Transfer,24-Mar-94,CINCINNAT
,,,,,,Death,22-Apr-94,CINCINNAT
1095,PHILADELP,Female,9-Mar-94,1041,1040,Birth/Hatch,9-Mar-94,PHILADELP
,,,,,,Death,10-Mar-94,PHILADELP
1096,PHILADELP,Male,9-Mar-94,1041,1040,Birth/Hatch,9-Mar-94,PHILADELP
,,,,,,Death,16-Mar-94,PHILADELP
1097,DUKE PRIM,Female,15-Mar-94,1023,1008,Birth/Hatch,15-Mar-94,DUKE PRIM
,,,,,,Death,14-Jun-13,DUKE PRIM
1098,SANDIEGOZ,Male,18-Mar-94,1051,1054,Birth/Hatch,18-Mar-94,CHICAGOBR
,,,,,,Transfer,4-Dec-99,SANDIEGOZ
,,,,,,Death,1-Oct-08,SANDIEGOZ
1099,MEMPHIS,Female,18-Mar-94,1051,1054,Birth/Hatch,18-Mar-94,CHICAGOBR
,,,,,,Transfer,8-Dec-97,MEMPHIS
,,,,,,Death,1-Jan-06,MEMPHIS
1100,DUKE PRIM,Female,11-Apr-94,1012,1044,Birth/Hatch,11-Apr-94,DUKE PRIM
